,AQI,AQI_rank,PM2.5,PM10,SO2,NO2,CO,O3
0,179,305,136,253,60,79,4.02,19
1,256,336,203,352,54,95,4.83,14
2,262,312,212,360,44,87,5.02,15
3,261,341,210,352,54,92,4.71,12
4,297,363,234,387,45,71,5.00,15
5,336,365,270,436,43,78,5.37,15
6,217,355,169,285,38,64,3.98,20
7,188,334,142,245,42,60,3.66,16
8,207,320,156,266,50,67,4.02,13
9,192,300,145,252,47,59,4.15,17
10,169,336,126,214,48,46,3.32,26
11,159,350,120,193,39,45,3.15,16
12,163,350,123,223,40,53,3.32,20
13,92,204,62,121,31,45,2.69,27
14,99,197,70,144,36,59,3.21,20
15,159,288,121,226,44,76,3.97,13
16,112,240,69,159,34,47,3.06,23
17,77,186,37,101,30,37,2.29,30
18,67,128,34,82,45,39,1.84,25
19,84,206,58,111,34,44,1.94,23
20,128,316,96,169,35,47,2.17,24
21,73,227,41,86,20,28,1.40,38
22,78,292,16,105,12,19,1.17,56
23,64,236,15,80,13,20,1.29,52
24,67,210,39,83,30,52,2.10,26
25,85,256,58,116,38,59,2.47,25
26,123,299,92,177,54,68,2.67,17
27,120,263,90,173,51,66,2.56,19
28,188,343,143,252,52,72,3.23,15
29,200,352,152,273,47,64,3.20,13
30,76,225,49,93,18,34,1.90,22
31,60,130,37,68,18,43,2.00,26
32,84,155,61,106,26,56,2.12,28
33,139,303,105,174,37,74,2.51,25
34,132,288,99,164,33,67,2.27,31
35,93,221,59,111,20,33,1.55,43
36,52,79,24,55,18,32,1.28,42
37,75,129,40,97,28,36,1.56,45
38,252,324,198,285,72,48,2.14,45
39,170,342,128,194,46,55,2.38,41
40,187,343,142,226,50,56,2.60,43
41,204,343,154,242,41,48,2.70,43
42,127,276,79,161,21,22,1.89,40
43,73,305,25,95,12,13,1.34,49
44,52,289,18,53,18,20,1.40,47
45,59,307,32,67,21,35,1.69,38
46,59,262,36,68,23,38,1.72,38
47,63,202,38,75,25,52,1.92,31
48,93,287,62,128,27,58,1.96,34
49,217,347,73,335,15,33,1.35,43
50,176,353,61,272,10,22,1.26,52
51,104,258,63,155,25,43,1.82,22
52,130,299,88,190,30,52,2.12,24
53,102,270,63,151,27,41,1.54,34
54,110,310,77,166,38,66,2.08,23
55,112,281,71,165,27,60,1.92,30
56,92,256,44,132,28,59,1.87,23
57,92,268,45,132,24,44,1.81,30
58,87,226,36,122,20,35,1.47,35
59,60,126,25,67,24,37,1.56,37
60,89,219,59,126,39,62,2.01,25
61,98,192,61,143,34,67,2.20,28
62,102,201,61,151,30,73,2.35,33
63,172,291,80,256,30,61,2.27,13
64,161,263,62,268,16,36,1.43,32
65,198,314,89,336,27,57,1.99,22
66,178,328,90,300,46,65,2.36,14
67,158,356,95,263,46,61,2.36,22
68,103,344,48,154,27,40,1.74,24
69,70,304,42,81,14,36,1.52,38
70,86,296,48,119,27,52,1.76,35
71,139,345,104,206,37,80,2.33,24
72,96,255,57,136,21,55,1.93,38
73,99,253,53,146,31,53,2.00,37
74,115,260,81,177,32,59,2.23,48
75,172,326,130,238,46,73,2.42,33
76,189,324,145,275,38,83,2.53,23
77,140,268,105,189,25,71,2.06,44
78,134,284,84,207,22,57,1.85,65
79,138,322,96,204,18,34,1.72,85
80,118,308,78,179,20,41,1.67,76
81,135,336,100,203,23,66,1.95,33
82,180,362,135,242,25,68,2.20,21
83,154,362,115,209,24,58,1.97,22
84,120,350,90,149,13,53,1.58,35
85,59,92,30,67,10,42,1.18,50
86,75,183,35,97,17,59,1.18,44
87,97,275,49,142,21,68,1.44,45
88,116,342,55,180,31,79,1.75,38
89,132,341,71,212,29,86,1.95,46
90,111,276,58,170,22,83,1.69,52
91,138,338,75,224,25,95,2.01,50
92,157,341,87,259,32,66,1.71,69
93,70,274,40,87,11,28,1.16,57
94,89,319,59,125,26,51,1.41,33
95,113,343,84,143,15,54,1.74,15
96,71,240,47,76,7,48,1.80,15
97,80,257,35,109,12,55,1.64,32
98,120,313,63,187,20,68,1.77,29
99,77,237,34,103,15,48,1.28,53
100,112,314,60,171,18,68,1.81,47
101,133,347,79,214,18,67,1.79,66
102,135,329,90,215,20,67,1.83,41
103,125,322,72,197,20,63,1.62,31
104,99,264,55,146,17,55,1.44,51
105,76,214,39,104,9,39,1.36,57
106,58,195,24,68,10,37,1.22,57
107,122,357,43,175,8,35,1.19,64
108,88,344,49,124,17,59,1.50,50
109,100,347,58,148,17,62,1.49,47
110,91,310,53,129,16,64,1.57,58
111,102,293,47,152,21,71,1.61,53
112,101,277,46,149,23,67,1.44,55
113,65,210,24,73,8,35,0.97,94
114,79,247,49,91,12,35,1.08,85
115,72,217,41,91,11,41,1.16,78
116,90,304,55,117,16,46,1.14,70
117,79,274,31,103,17,45,0.96,65
118,78,248,42,102,17,45,1.06,76
119,106,301,70,146,19,64,1.30,86
120,106,306,59,147,20,75,1.45,77
121,93,261,47,114,16,64,1.23,81
122,135,350,40,178,7,26,0.72,81
123,78,307,40,103,16,58,0.90,63
124,101,333,61,149,28,72,1.31,73
125,126,342,85,197,32,78,1.51,68
126,114,283,54,176,17,54,1.02,46
127,76,243,42,98,12,33,0.99,38
128,75,296,53,83,7,29,1.16,55
129,70,257,35,87,16,40,1.13,67
130,101,333,55,134,13,59,1.26,77
131,99,262,56,133,12,58,1.30,91
132,200,356,78,299,7,31,0.85,78
133,67,202,34,83,8,35,0.99,36
134,40,30,22,38,6,33,1.13,37
135,61,273,21,70,10,34,1.01,56
136,65,184,30,77,12,51,1.13,62
137,88,299,49,123,17,65,1.40,68
138,77,191,35,86,12,37,0.95,105
139,81,189,57,104,11,35,1.03,115
140,100,313,67,132,12,40,1.17,105
141,84,299,50,95,12,36,1.06,104
142,81,298,51,96,10,36,1.05,90
143,45,105,21,37,6,19,0.87,70
144,63,177,20,59,9,40,0.95,92
145,51,111,22,58,9,40,0.89,62
146,44,106,18,44,8,38,0.89,47
147,43,90,27,42,5,38,0.98,45
148,62,214,32,60,13,38,1.06,65
149,75,273,25,72,12,50,1.15,83
150,86,256,51,114,15,65,1.42,87
151,85,268,59,107,9,52,1.41,52
152,62,237,43,64,4,28,1.27,60
153,46,111,30,42,3,30,1.14,58
154,60,215,26,49,7,32,1.21,79
