,日期,最高温,最低温,天气,风力风向,空气质量指数 
0,2021-11-01 周一,15°,8°,多云~阴,东风2级,75 良 
1,2021-11-02 周二,18°,10°,雾~阴,西南风2级,70 良 
2,2021-11-03 周三,18°,9°,阴,东风1级,73 良 
3,2021-11-04 周四,18°,9°,多云,东北风2级,103 轻度 
4,2021-11-05 周五,18°,6°,多云~小雨,东北风2级,113 轻度 
5,2021-11-06 周六,10°,1°,小雨,西风4级,125 轻度 
6,2021-11-07 周日,8°,-3°,多云~晴,西风3级,44 优 
7,2021-11-08 周一,11°,0°,多云~晴,南风1级,59 良 
8,2021-11-09 周二,14°,2°,多云~晴,西南风2级,56 良 
9,2021-11-10 周三,15°,3°,晴,西南风2级,54 良 
10,2021-11-11 周四,14°,0°,多云~晴,西南风2级,63 良 
11,2021-11-12 周五,15°,0°,多云~晴,西南风2级,67 良 
12,2021-11-13 周六,19°,2°,晴,西南风2级,60 良 
13,2021-11-14 周日,14°,2°,多云,西南风1级,69 良 
14,2021-11-15 周一,17°,3°,雾~阴,东南风1级,76 良 
15,2021-11-16 周二,12°,4°,多云~阴,北风1级,115 轻度 
16,2021-11-17 周三,18°,2°,多云~晴,西南风1级,98 良 
17,2021-11-18 周四,16°,3°,多云,东北风1级,124 轻度 
18,2021-11-19 周五,16°,8°,多云~阴,东北风1级,103 轻度 
19,2021-11-20 周六,11°,4°,阴~小雨,西风2级,108 轻度 
20,2021-11-21 周日,12°,-3°,多云~晴,西北风3级,66 良 
21,2021-11-22 周一,8°,-2°,晴,西风2级,118 轻度 
22,2021-11-23 周二,13°,0°,晴,西南风1级,89 良 
